match_id,event,date,map_name,team,opponent,team_comp,opponent_comp,won
644666,VCT 2026: Pacific Stage 1,2026-04-17,Split,Team Secret,Paper Rex,"Cypher,Neon,Omen,Skye,Viper","Jett,Omen,Raze,Skye,Viper",False
644666,VCT 2026: Pacific Stage 1,2026-04-17,Split,Paper Rex,Team Secret,"Jett,Omen,Raze,Skye,Viper","Cypher,Neon,Omen,Skye,Viper",True
644667,VCT 2026: Pacific Stage 1,2026-04-18,Fracture,KIWOOM DRX,Global Esports,"Breach,Brimstone,Cypher,Neon,Raze","Breach,Brimstone,Deadlock,Raze,Tejo",True
644667,VCT 2026: Pacific Stage 1,2026-04-18,Fracture,Global Esports,KIWOOM DRX,"Breach,Brimstone,Deadlock,Raze,Tejo","Breach,Brimstone,Cypher,Neon,Raze",False
644667,VCT 2026: Pacific Stage 1,2026-04-18,Haven,KIWOOM DRX,Global Esports,"Chamber,Jett,Neon,Omen,Skye","Cypher,Deadlock,Omen,Skye,Waylay",True
644667,VCT 2026: Pacific Stage 1,2026-04-18,Haven,Global Esports,KIWOOM DRX,"Cypher,Deadlock,Omen,Skye,Waylay","Chamber,Jett,Neon,Omen,Skye",False
644668,VCT 2026: Pacific Stage 1,2026-04-18,Bind,ZETA DIVISION,DetonatioN FocusMe,"Brimstone,Neon,Skye,Viper,Waylay","Brimstone,Neon,Skye,Viper,Waylay",True
644668,VCT 2026: Pacific Stage 1,2026-04-18,Bind,DetonatioN FocusMe,ZETA DIVISION,"Brimstone,Neon,Skye,Viper,Waylay","Brimstone,Neon,Skye,Viper,Waylay",False
644668,VCT 2026: Pacific Stage 1,2026-04-18,Lotus,ZETA DIVISION,DetonatioN FocusMe,"Fade,Neon,Omen,Viper,Waylay","Fade,Neon,Omen,Raze,Vyse",False
644668,VCT 2026: Pacific Stage 1,2026-04-18,Lotus,DetonatioN FocusMe,ZETA DIVISION,"Fade,Neon,Omen,Raze,Vyse","Fade,Neon,Omen,Viper,Waylay",True
644668,VCT 2026: Pacific Stage 1,2026-04-18,Pearl,ZETA DIVISION,DetonatioN FocusMe,"Astra,Cypher,Fade,Neon,Phoenix","Astra,Killjoy,Sova,Tejo,Waylay",False
644668,VCT 2026: Pacific Stage 1,2026-04-18,Pearl,DetonatioN FocusMe,ZETA DIVISION,"Astra,Killjoy,Sova,Tejo,Waylay","Astra,Cypher,Fade,Neon,Phoenix",True
644669,VCT 2026: Pacific Stage 1,2026-04-19,Pearl,Rex Regum Qeon,T1,"Astra,Chamber,Kayo,Neon,Sova","Astra,Chamber,Killjoy,Neon,Skye",False
644669,VCT 2026: Pacific Stage 1,2026-04-19,Pearl,T1,Rex Regum Qeon,"Astra,Chamber,Killjoy,Neon,Skye","Astra,Chamber,Kayo,Neon,Sova",True
644669,VCT 2026: Pacific Stage 1,2026-04-19,Bind,Rex Regum Qeon,T1,"Brimstone,Neon,Skye,Viper,Waylay","Brimstone,Chamber,Neon,Skye,Viper",False
644669,VCT 2026: Pacific Stage 1,2026-04-19,Bind,T1,Rex Regum Qeon,"Brimstone,Chamber,Neon,Skye,Viper","Brimstone,Neon,Skye,Viper,Waylay",True
644670,VCT 2026: Pacific Stage 1,2026-04-19,Pearl,Nongshim RedForce,Gen.G,"Astra,Chamber,Fade,Neon,Phoenix","Astra,Fade,Killjoy,Neon,Phoenix",True
644670,VCT 2026: Pacific Stage 1,2026-04-19,Pearl,Gen.G,Nongshim RedForce,"Astra,Fade,Killjoy,Neon,Phoenix","Astra,Chamber,Fade,Neon,Phoenix",False
644670,VCT 2026: Pacific Stage 1,2026-04-19,Breeze,Nongshim RedForce,Gen.G,"Harbor,Neon,Phoenix,Sova,Viper","Harbor,Jett,Kayo,Sova,Viper",True
644670,VCT 2026: Pacific Stage 1,2026-04-19,Breeze,Gen.G,Nongshim RedForce,"Harbor,Jett,Kayo,Sova,Viper","Harbor,Neon,Phoenix,Sova,Viper",False
644671,VCT 2026: Pacific Stage 1,2026-04-24,Pearl,Rex Regum Qeon,FULL SENSE,"Astra,Chamber,Kayo,Neon,Sova","Astra,Cypher,Fade,Neon,Phoenix",False
644671,VCT 2026: Pacific Stage 1,2026-04-24,Pearl,FULL SENSE,Rex Regum Qeon,"Astra,Cypher,Fade,Neon,Phoenix","Astra,Chamber,Kayo,Neon,Sova",True
